index,img_name,initial_psnr,final_psnr,psnr_gain
1,0801.png,27.628846540635028,28.937278217455336,1.3084316768203088
2,0802.png,33.163501748587294,34.58303736840866,1.4195356198213673
3,0803.png,33.60373803717614,37.736490395654016,4.132752358477873
4,0804.png,25.399736028343607,26.972029800238015,1.572293771894408
5,0805.png,27.50804924464903,28.19642011142489,0.688370866775859
6,0806.png,26.281715991517753,27.778693624204745,1.496977632686992
7,0807.png,19.435746642929445,20.045801720557826,0.6100550776283811
8,0808.png,25.474268160224142,26.544413796129202,1.0701456359050603
9,0809.png,30.461947203782856,31.722251629706147,1.260304425923291
10,0810.png,25.832087451232105,26.545332317762856,0.7132448665307507
11,0811.png,27.99974254654195,28.835071359057338,0.8353288125153888
12,0812.png,25.62579466915695,27.286865357308955,1.6610706881520052
13,0813.png,28.837359736479726,30.766197839097984,1.9288381026182577
14,0814.png,26.591406049671054,27.73951711864596,1.148111068974906
15,0815.png,31.648492567066192,33.325608176802625,1.6771156097364326
16,0816.png,29.709652327200995,31.13479379730208,1.4251414701010852
17,0817.png,29.968677948562924,31.40620681938345,1.4375288708205254
18,0818.png,26.56658745789878,28.294853371617137,1.7282659137183565
19,0819.png,26.376546780046723,27.620167056427974,1.2436202763812503
20,0820.png,21.618743306189597,24.109942501973347,2.49119919578375
21,0821.png,25.153657557759846,29.93263255836017,4.778975000600322
22,0822.png,27.979526760905834,30.042649244877488,2.0631224839716538
23,0823.png,24.382177524057035,25.53984499741697,1.1576674733599361
24,0824.png,25.34456734552918,27.77104453107227,2.426477185543092
25,0825.png,24.775244006148025,26.790344079876366,2.015100073728341
26,0826.png,22.97984206268082,23.919472929231677,0.939630866550857
27,0827.png,30.506986914644166,32.5895080550838,2.0825211404396313
28,0828.png,16.47178218930827,19.964539662494392,3.4927574731861206
29,0829.png,25.960431727272432,26.46202375730073,0.5015920300282986
30,0830.png,23.601018476459526,24.225803626565398,0.6247851501058719
31,0831.png,26.765464969883617,29.399905344029342,2.6344403741457256
32,0832.png,27.52940366050396,29.861075163021415,2.3316715025174553
33,0833.png,30.059077081495115,32.99046783923208,2.931390757736967
34,0834.png,24.408958378234395,25.174455888539306,0.7654975103049111
35,0835.png,22.189844825303467,22.693557208985577,0.5037123836821102
36,0836.png,23.203413656642176,25.177504815198667,1.9740911585564902
37,0837.png,23.79763143038516,25.747212634565653,1.9495812041804932
38,0838.png,36.8882080230865,36.985680812271184,0.09747278918468538
39,0839.png,28.144503921075895,28.896502146921083,0.7519982258451883
40,0840.png,27.002345191600053,28.17785442210731,1.1755092305072559
41,0841.png,26.22942208609053,27.661384473072804,1.4319623869822742
42,0842.png,28.352495540349235,29.367964510925482,1.0154689705762472
43,0843.png,37.08219763990051,40.27064799081498,3.188450350914472
44,0844.png,37.948579917797645,39.3258787872649,1.3772988694672534
45,0845.png,21.43171756315612,23.41281368527598,1.9810961221198617
46,0846.png,22.213739716472208,24.105277589754134,1.8915378732819264
47,0847.png,25.101038348445314,27.138833191993545,2.0377948435482303
48,0848.png,25.072545481419066,26.788142335379806,1.71559685396074
49,0849.png,19.58315893312274,21.80763289238947,2.2244739592667315
50,0850.png,26.733765360720632,28.53536241218658,1.8015970514659472
51,0851.png,26.76345669649906,28.050648785590038,1.2871920890909792
52,0852.png,28.96259482374241,29.80732762927106,0.8447328055286505
53,0853.png,30.88836657483385,33.27748428541267,2.3891177105788195
54,0854.png,23.403541683336044,24.624812340978945,1.2212706576429007
55,0855.png,28.039812238367936,29.052426742675195,1.0126145043072583
56,0856.png,23.2045564016458,23.994369063903974,0.7898126622581749
57,0857.png,33.99009227122431,34.45121420986912,0.46112193864480844
58,0858.png,27.024008126751596,28.292091848763622,1.268083722012026
59,0859.png,24.072401713381602,25.04492729676555,0.9725255833839483
60,0860.png,19.6805499461579,20.458904218691526,0.7783542725336261
61,0861.png,21.18937168919938,22.552921704289716,1.3635500150903361
62,0862.png,32.415287532153954,32.715894452564186,0.30060692041023174
63,0863.png,32.065999165984856,32.73616805005674,0.6701688840718845
64,0864.png,28.660049859416464,29.672683488257892,1.012633628841428
65,0865.png,26.330826374854812,27.05104634964893,0.7202199747941194
66,0866.png,24.32979580000895,24.83603525690231,0.5062394568933613
67,0867.png,26.120111163695594,27.91269565007806,1.7925844863824665
68,0868.png,29.572389680041223,31.870561822362124,2.298172142320901
69,0869.png,22.76252421844044,23.557508029175963,0.7949838107355234
70,0870.png,26.959133361335397,28.256580473377113,1.2974471120417164
71,0871.png,29.419464861627535,31.44796112163453,2.028496260006996
72,0872.png,22.452145488225288,23.760436611345952,1.3082911231206644
73,0873.png,22.69381037118314,23.672423583495288,0.9786132123121476
74,0874.png,28.18197491651712,29.518169132688353,1.3361942161712328
75,0875.png,22.424768576100625,24.02197471710009,1.5972061409994645
76,0876.png,21.430908199859157,21.954219675070956,0.5233114752117984
77,0877.png,35.4353935160029,39.271527252215506,3.8361337362126093
78,0878.png,28.833404265054575,31.50606133895395,2.672657073899373
79,0879.png,25.433139973861017,26.847090203098954,1.413950229237937
80,0880.png,30.568994138720882,31.732519276911354,1.1635251381904723
81,0881.png,24.98620734936691,25.71797794032102,0.7317705909541097
82,0882.png,31.363360068104686,33.43116341013676,2.067803342032075
83,0883.png,24.916387394394484,26.056490685958654,1.14010329156417
84,0884.png,24.116324883236214,25.41839444954893,1.302069566312717
85,0885.png,21.86240935484941,22.491209241462283,0.628799886612871
86,0886.png,33.34396200335208,35.46595452867259,2.1219925253205076
87,0887.png,23.894460546720634,25.02519345591396,1.130732909193327
88,0888.png,27.552767057471932,29.8140337285964,2.261266671124467
89,0889.png,27.22779626069956,29.772420415315207,2.544624154615647
90,0890.png,24.602300502224818,25.104212088147364,0.5019115859225458
91,0891.png,23.80221514531838,26.14111632190816,2.338901176589779
92,0892.png,25.31847992116157,28.4083777052568,3.089897784095232
93,0893.png,30.97430006307295,32.84027283476974,1.8659727716967929
94,0894.png,29.351635600669,30.977704861942424,1.6260692612734253
95,0895.png,19.70056229962352,20.268016483117304,0.5674541834937834
96,0896.png,33.54565845604341,36.63045138051206,3.084792924468651
97,0897.png,20.90244367710929,21.79419030957816,0.8917466324688696
98,0898.png,31.59487487667181,33.49311665086876,1.898241774196947
99,0899.png,26.26411589615975,30.700602450814255,4.436486554654504
100,0900.png,24.164585407595595,27.063855426543917,2.8992700189483216
